,image_id,headline,byline,text,label
215,18_255952450-altoona-mirror-Sep-29-1934-p-1.jpg,"PASTORS TO AID Y. W.
 ",,"The Young Wonten’s§ Christian
‘association membership campaign
will be presented in all of the
churches tomorrow through’ the
workers committee, the church
chairmen and the ministers. The Y.
W. committee, Mrs. W. W. Blake,
chairman, presented the coming ap-
peal with the other committee mem-
bers to the Lutheran Ministerium
and other church groups.
 ",Neither
61,9_164541134-washington-washington-democrat-Oct-01-1924-p-1.jpg,"HINCHER PLANT
~ HAD ABBDENT
THIS MORNINE
 Steam my Ripe Us Leading Into Engine
Let go Before the
Roem ? Was Opened.
 ",,"A steam pipe leading into the
engine room at the Hincher Manufac-
turing plant let go this morning as
re plant was being prepared for the
day's run, A section of pipe about
twelve feet long and cight inches in
diameter gave way in the engine
room as the fireman was steaming
‘up.

When the pipe exploded it was
[thrown against one of the main pipes
of the fire system and about half the
water in the fire tank, or about 18,-
/900 gallons of water, came flooding
Into the room before it could be
stopped.
| The accldent happened about 6 o'-
‘clock this morning agd as a result the
plant will not be able to operate for
several days until repairs can be
made.

Fortunately no one was in the
engine room when the pipe let go or
the accident might have had a fatal
| termination.

 
 ",Neither
47,24_32891532-frederick-news-post-May-31-1944-p-4.jpg,"| Twenty-Five And
Five-Years Ago
Today In Frederic
 ",," 

ats of the Twenry-Ninth
Division, including the 115th
infantry just returned from
France, weoi on final parade
in Baltimore prior to immedi.
ate demobilization.
 Charles O'Donnell Lee, of
Needwood Forest, one of Fred
erick county's most prominent

ehizess, died at his county
residence of paeumonia, aged
78 Vears,
 Predericx County Rural
Letrer Carriers’ Association
met in annual sessien and elect-
ed the following officers: Presi-
dear, CW. Stitely, Woods-
boro; vice-presidenr,  Franic
Milter, Lewistown: secretary,
mey <A. Richardson, Le-
Gore; treasurer, Wiliam D,
Schildt, Detour.

  

  

  
 W. Jarboe Grove was eleci-
ed captain and Arthur Y,
Myers, manager, of the
Cadet baseball team: as the Je:-
ter men of the Boys’ High
School held their closing meet-
ane
 ",Neither
32,34_234234194-sikeston-standard-Feb-01-1946-p-1.jpg,"Work Stoppages On
| increase-Plans To

Halt Strikes Fall
 ",,"Chicago, [ll., January 31.—(4#)—
New and impending work stop-
pages most of them because of
the nationwide steel strike, slow=
ed production in various allied
industries today as hopes dimmed
for an immediate settlement of
the General Motors walkout.

As General Motors officials and
leaders of the CIO United Auto
Workers prepared to resume
negotiations in their 72 day old
strike of 175,000 employes at 96
plants, they were confronted with
reaching terms on two issues—
wages and maintainance of Union
membership.

The General Motors Corpora-
tions announcement that it was
not willing to renew any main-
tainance of union membership
clause in a new contract came
after the Union had rejected
General Motors renewal of the
temporary 1315 cent hourly wage
increase, The Union demands 20
|) per cent.

Of the 54,000 workers laid off
in steel related industries, about
20,000 were from plants of the
Ford Motor Company. Other Ford
‘shut downs between now and
February 8, due to the steel strike
which is in its 11th day, will make
at least another 10,000 idle.

The country’s labor disputes,
currently have made idle approxi-
|mately 1,380,000 workers.
 ",Protest
267,6_363405385-east-hampton-star-Oct-09-1941-p-2.jpg,"Fifty Years Ago
 ",,"(From The Star, October 2, 1891]

Howard S. Butler, a marine ar-
tist, who has been boarding at
Mrs. Barnes, this summer, has
purchased a lot between Georgica
Pond and the Ocean, upon which
he intends to build.

The evening service at the Pres-
byterian church will be held at
the usual time on Sunday next,
but thereafter both the Wednes-
day and Sunday night meetings
will begin at 7 o'clock.

Mrs, Johnson and family left
town on Thursday for Montauk,
where they will spend a few days
at the Stratton House, and then
leave for their home at 118 East
19th Street, New York.

Mr. Ely and family, who have
occupied the Arrowsmith cottage
-this summer, have moved into
the Mrs. Parsons house, just vaca-
ted by the Warren family, where
they will remain through October.

‘The trustees of the town of East
Hampton have entered a suit
against the Vail Brothers, of
Orient, for taking fish trom Fort
Pond Bay. The town’s counsel are
‘Wilmont Smith, of Patchogue, and
Lawyer Street, of Huntington, two
of Suffolk County’s most able law-
yers. The case will probably be
brought before the spring term of
Court.
 Last Sunday's “World” made
the following mention of two
well-known East Hampton artists:
The Halbein & Mendelssohn stu-
dios in Fifty-fifth Street scattered
as they are along the block, are
still practically deserted, Percy
and Leon Moran have concluded
their outing at East Hampton,
with a dozen water-colors apiece
to show for it. Percy Moran has
in his studio this week a new
study in water-colors, entitled “a
Colonial Tea Party,” and has just
finished another water-color af-
ter the French school, a garden
scene in Watteau’s time. Several
of his pictures will be’ exhibited.

‘A large number of our people
went to the Riverhead fair this
week. The weather has been very
fayorable for a successful exhibi-
tion, and those who went report
the fair better this year than ever
before.

The show of fruit was said to
have been far ahead of any for-
mer exhibit, and the show of
horses was also good, It is thought
that the attendance on Wednes-
day numbered from four to six
thousand people. The railroad
company managed the train ser-
vice in a creditable manner. It is
said that there were five trains of
twelve car-loads each which left
the fair grounds Wednesday after-

 

 

 
 ",Neither
327,18_145206313-jewell-record-Feb-21-1946-p-1.jpg,"VICTORY BOND SALE
IN HAMILTON COUNT)
 Final Federal Reserve Bank
Report Received This Week
Shows Total Sales Were 241
Percent of Quota. :
 ",,"The Federal Reserve Bank this
, week reported total sales of all
types of bonds in Hamilton county
in the last bond drive— the Victory
| Loan. The report reveals that the
‘total sales in this county were
| $1,786,401, which was 241 percent
| of the county's quota.

Total E bond sales in the county
| were $721,457.
i Following is the total amount of
‘Victory Loan bonds sold through
‘each of the seven banks of the
{county and each bank’s percent of
j its allotment:
; Farmers State Bank of Jewell
‘and Ellsworth, $262,781. 238 Pct.

Randall State Bank, of Randall,
$68,707. 135 Pct.

Farmers State Bank of Stanhope,
$82,651. 197 Pet.

Farmers Savings Bank of Strat-
ford, $86,678. 181 Pct.

Farmers National Bank of Web-
ster City, $548,008. 234 Pct.

First State Bank of Webster
City, $487,051. 334 Pct.

Williams Savings Bank of Wil-
liams, $189,332. 174 Pct. |

The remainder of sales were
‘made through postoffices and other
‘issuing agents. |

Total sales in the county of bonds
other than E bonds were:

F bonds: $13,044. |

G bonds: $123,600.

C notes: $58,800. |

7\8 certificates, $239,000.

214 certificates: $$263.000.

215 certificates: $367,500.
 ",Neither
200,0_283277101-helena-independent-record-Sep-09-1963-p-1.jpg,"Fighting Breaks Out
In Laotian Capital
 ",,"Vientiane —(4)— Sharp fight
ing broke out early today ir
downtown Vientiane betweer
right-wing and _ pro-Communis
Pathet Lao forces, plunging Lao:
into a new crisis,

A right-wing spokesman saic
one Pathet Lao soldier was killec
and another wounded in the two
hour clash, during which gre
nades and gunfire were ex
changed.

A reliable source reported twe
civilians, a Filipino attached to a
hospital and a Laotian, were
killed.
 ",Neither
447,3_233487720-kingston-daily-freeman-Sep-11-1957-p-1.jpg,"Necessary to Extend

| 40-50 Davs of Water
 Kasper Is Arrested;
Denied Bond in
School Riot Link
 ",,"NASHVILLE, Tenn.  — North-
ern segregationist John Kasper
was arrested early today, the
third time in 12 hours, as angry
Nashville police cracked down
on mounting violence following
school integration here.

Sessions Judge Mitchell Van
‘Zicarelli denied Kasper bond in
‘the third arrest, on a charge of
inciting to riot which Constable
Floyd Peek said was based on a
speech the New Jersey-born agi-
tator delivered at the state capi-
tol Sunday night. He was arrested
at the home of friends.

_ Twice before since 1 p. m. yes-
terday, Kasper had been arrested
—on disorderly conduct and va-
grancy charges and for parking
‘in a restricted zone. He made
bond totaling $2,500 on those
charges. Hearing was set at 2
'p. m. today.

| Five Negroes Held

_ Five Negro men also were ar-
rested this morning near several
city schools an hour before classes
were scheduled to start.

|. Assistant Police Chief F. W.
Muller said the five were carrying
shotguns and pistols, and were
charged with carrying firearms.
| The crackdown on demonstra-
‘tors by hard-boiled cops, an ef-
fort to restore order at the newly
integrated schools, forced jeering
‘segregationists to meet outside
the city.

“I have a Geeling that maybe
we have passed the crisis,’ said
Asst. School Supt. W. H. Oliver,
as he faced the third day of first
grade integration, ordered by U.S.
Dist. Judge William E. Miller.

In the wake of an early morn-
ing dynamite blast which wrecked
one of the seven integrated ele-
mentary schools yesterday, there
were, these rapid fire develop-
ments:

Rally Area Cleared

1. Fifty city policemen, in cruis-
ers and on motorcycles, moved
onto the state capitol square 15
minutes before a Kasper-called
rally was to begin last night. The
‘square was promptly cleared and
‘one officer said simply, ‘There
will be no meeting.’ The rally
moved outside the city with Kas-
per nowhere in sight. There were
no incidents.

2. State troopers were posted at
the governor’s home after a re-
ported threat on the life of Gov.
Frank Clement. Clement incurred
segregationists’ ire last year when
he sent National Guardsmen to
restore order at Clinton, 200 miles
to the east, after high school inte-
gration there touched off rioting.
Clement, who said he personally
knew of no threats against him,
has declined comment on_ the
Nashville situation. |

FBI Is Observing

3. U. S. Dist. Judge William E.
Miller, under whose orders the
first grade was integrated here
this fall, held an informal confer-
ence with U. S. Dist. Atty. Fred
Elledge and FBI agents. Elledge
said the FBI “is just observing.”

Meanwhile, six white men faced
preliminary hearing at 2 p. m. in
connection with the dynamiting of
Hattie Cotton Grammar’ School.
The six were arrested yesterday,
and police said 50 feet of wire of
 3. U. S. Dist. Judge William E.
Miller, under whose orders the
first grade was integrated here
this fall, held an informal confer-
ence with U. S. Dist. Atty. Fred
Elledge and FBI agents. Elledge
said the FBI “is just observing.”’

Meanwhile, six white men faced
preliminary hearing at 2 p. m. in
connection with the dynamiting of
Hattie Cotton Grammar’ School.
The six were arrested yesterday,
and police said 530 feet of wire of
the same type used to detonate
 the blast was found in the home
of one of the men.

_ Rewards in the case had reached
 $6,000—$5,000 by Clement and $1,-

000 by the Nashville Banner.
_ Miss Margaret Acree, principal
of -the shattered school since its
opening in 1950, said damage to
the half million dollar structure
probably will not exceed $150,000.
This is less severe than was at
first indicated. One Negro first
grader was among 390 students
enrolling at the school Monday.

A dummy representing a Negro
man was hung in effigy on Church
Street in downtown Nashville last
night. A sign pinned on the dum-
my read, “Nigger this could be
you.”
 ",Neither
27,2_361521638-potsdam-clarkson-integrator-Dec-12-1929-p-2.jpg,"BELIEVE IT OR NOT “IT’S TRUE!
 ",,"— oe ee

That’s one “Ball” none of us care
to attend.

One Prof. says he has had more va-
cations this Fall than he has had in
the last five years,

The junior chemicals have a lot of
new glass equipment in their drawers

If all the lites for a house party
were lited at once it would still be
dark,

Tech has sent some more men out
into the cold, cruel world, but not as
Alumni.

Usually the only difference between.
an ex-Techer and an Alumnus is a
few double Fs.

New Year's resolutions to study
harder are now in order. :

At last the electricals have a real
“play thing,” 100,000 strong too!

The last pre-Christmas finals are:
gone, but not f i |
Famous last words"" wish I had

studied more.”
Y? 90.
 ",Neither
390,12_102392750-titusville-herald-Jun-05-1952-p-6.jpg,"Social Security Man
Coming Here Thursday
 ",,"Residents of the ‘Titusville area
can have their social security ques-
tions answered in person next
Thursday when a representative of
the Social Security Administration
will hold office hours from 9:30 a.
m, to 1] p.m, on the second floor of
the postoffice building. The primary
purpose of his visit will be to take
claims and answer inquiries on old-
uge and survivors Insurance. In ad-
dition, he will giadly assist any em-
ployes or employers who have prob-
Iems relating to social security, °

FINE PRAISES DECISION

HARRISBURG, June 4 GP) —
Gav. John S. Fine said tonight the
U. S. Supreme Court decision rut-
ing President Truman’‘s seizure 0!
the nation’s steel mills unconstitu-
tional “shows this country is guider
dy a government of law and not oa!
men.”
 ",Neither
230,5_99381645-jefferson-city-post-tribune-Jul-29-1930-p-1.jpg,"OR, BASS TO HAVE
SANITY HEARING AT
ARKANSAS PRICGR
 ",,"LITTLE ROCK, ARK., July 25.—

(AP)—Dy, L, R. Brown, superin-
tendent of the state hispital for
nervous diseases, said today he has
conser.ted to examine Dr. Andrew
J. Bass, former wealthy retired dent-
ist of ‘Columbia,’ Mo., to determine
Bass’ sanity. Dr. Bass is serving.a
life sentence for murdering a fellow
fownsman,

He was convicted at Bentonville
of murdering William R. Pearman,
automondile mechanic of Columbia,
whose body bearing bullet wounds
was found Iast Mareh near Gra-
vette, Ark. Pearman, Dr. Bass’ con-
fession revealed, had insured his
life for $200,000, making the polleies
payable to Dr. Bass.
 ",Neither
260,3_189457724-thomasville-times-enterprise-Oct-29-1960-p-1.jpg,"Rock ‘n’ Roll Riot
 ",,"MILWAUKEE, Wis. (AP)—A riot
in which police sought to control
a crowd of 800 persons broke out
early this mrning after a rock ‘n’
roll stage show at a neighborhood
theater.

Four policemen were injured and
released after treatment at a hos-
pital. Thirteen persons were arrest-
ed, eight of them juveniles.

“We had a riot on our hands,”
said police chief Lt. Arnold R.
Kramer who said bottles and
bricks flew during the outbreak.
 ",Riot
288,17_36954841-long-beach-press-telegram-Dec-29-1947-p-1.jpg,"Fifteen Killed
in Arab-Jewish
Holy Land War
 ",,"SERUSALEM, Dec.. 29. UP
Twelve Arabs, two British’ eon’
stables and one Jew were killed
in a clash at Jerusalem's Historie.
Damascus Gate today after Jews
had hurled grenades and sprayed
an Arab bus with machine gun
bullets.

Police at the scene sald that the
melee started when the occupants
of a Jewish tax! heaved a grey
ade into a crowded street naar
the’ massive stone gate and me
chine gunned. an Arab bus pre
paring to leave for the. all-Areb
town of Nablus.

Police ‘ declared. that | two’ ear
loads of Arabs. chased the fleeing
taxl and overhauled it a ‘mile
away. where they killed one. Jew
and wounded another, The
then brought the taxi back to
Damascus Gate, where they a
[t afire.

Two British - constables trylieg
to restore order among the et
raged Arabs were killed in B®

tempting to put out the bla

Other violence of the day added
furthor casualties.

 
 ",Neither
162,36_10139673-news-Dec-09-1947-p-1.jpg,"To Be On Verge Of
War For Some Years
 ",,"Chicago, Dec. 9 (F}—Alf ML Lan-
don. Republican presidential nom-
ince in 1936. said today “‘for some
|¥ears we will be teetering on the
Jatycs of another war, and we have
ip prepare ourselves accordingly.”

The former Governor of Kansas
teld the North Shore Kiwanis club
that there is “more or less unde-
clared war going on between Rus-
sia. western civilization in general,
and the U. S. A in particular.”

“A more or less undeclared war
;went on between Britain and Rus-
sia for 300 yea Landon said in
la prepared addrese. “I dont think
iit will go on that long between
| Russia and the U.S. A.”

 
 ",Neither
426,13_15026028-clearfield-progress-Feb-07-1941-p-1.jpg,"TAXES, TENURE
LAW ARE TEMS AS
DIRECTORS. MEET
 State School Directors
Open Two-Day Convention:
Study Part Scheols May
Play In Defense Program

BEAR REPORTS
 ",,"HARRISBURG, Feb 7—UP}-Mai-'
vied teachers, taxes and the part
schools will play in the defense p o-
glam are major items before the State
School Directors Association today os
it opened its 46th annual two-day
convention

The directors alieady are on rec-
aid as fa,oimg discretionary powcr
by school boards to dismiss women
teachers who marry

To support that stand, which ts to
be outlmed in amendments to the
teacher tenure law about to be sub-
raltted to tne legislature Preston O
Van Ness, executive secietary, hus
prepaied a survey of the numbe: of
mairied women teaching classes in

| Pennsylvania

Van Ness piesented his survey to
Phamivurnwnan Aa Dewe ok
 ",Neither
138,25_309468992-victoria-advocate-Dec-30-1975-p-10.jpg,"BLAST
 ",,"victims, but said later one dead
person brought to a hospital
about the same time had
erroneously been assumed to be
a victim of the blast.

The nine blanket-covered
bodies at the airport, five men
and four women, were moved to
an area occupied by National
Airlines as police and medical
examiners began the task of

trying to identifv them.
in Washington, DC. the

main passenger terminal at
National Airport was evacuated
and flights were suspended for
about 1'2 hours in response to a
bomb threat received less than
two hours after the New York
blast. Police using ex-
plosivesniffing dogs searched
the building, but said they found
no explosive device.

At LaGuardia, thousands of
terrified airline passengers
clutching their baggage were
moved away from the explosion
area, gate 22, near the Delta Air
Lines section.

Planes already loaded with
passengers were ordered to
take off, while other planes
were towed away from the
terminal.

As the bomb squad went into
the American Airlines area,
where the second explosion was
threatened, a dog was sent in to
sniff out explosives.

Authorities said nearby
hospitals had logged 75 persons
as injured.

The scene of the explosion
was virtually covered with the
blood of the dead and injured,
many of whom were struck by
the flying glass scattered
around the area for distances
equivalent to several city
blocks

Ten-foot-high windows were
blown out, and big metal doors
were twisted by the blast
Pieces of baggage, clothing and
shoes were strewn around the
area. Water from the upper
floor poured into the baggage
area

Under the rubble of the
collapsed ceiling, police and
firemen searched for other
possible casualties

A TWA worker, Nick
Douglas, said the explosion
‘sounded like a bomb blast
during the war. Walls were
shattered all over,’ he said,
‘and people were running from
the building, screaming and
crying.”

A veteran fireman, Frank
Sullivan, called the sight that
awaited the first policemen and
firemen on the scene ‘‘the worst
I've ever seen. There was blood
and people just all over the
place,”’ he said

A TWA spokesman said the
airline could not say whal
passengers might have been
arriving at the terminal at the
time of the explosion

The sookesman said flights
scheduled to arrive at
LaGuardia around that time
included one from Indianapolis
 ",Neither
62,5_30497418-elyria-chronicle-telegram-Jul-08-1977-p-9.jpg,"Olds wants trustees to vote on Tent Citv order
 ",,"KENT (UPI) — Kent State University President Glenn A.
Olds reportediy wants trustees to vote on a court injunction to”
remove ‘Tent City” residents from campus so construction on
a$ million gymnasium complex can begin.

The protesters. who occupy asite near where four KSU
students were killed and nine others were wounded during a
1970 antiwar demonstration on campus. say the area is historic
and should be preserved as such.

Olds. earlier this week. had been expected to move against
the squatters, but said it has taken longer to prepare the legal
action than had been expected.

TRUSTEE Joyce K. Quirk suggested yesterday the trou-
bles between the administration and “Tent City’ residents be
 submitted to federal mediation, adding that Olds has not yet
responded to her recommendation to end the controversy.

Anestimated 100 protesters living on campus rebuilt a por-
tion of “‘Tent City” after Thursday night's severe thunder-
storms. .

They are waiting today to see if Olds will visit them follow-
ing rumofs yesterday that he would keep an earlier promise to
discuss the situation.

A university spokesman issued a statement saying Olds bas
been working with his staff and legal counsel to comeioa
“peaceful and orderly closure of the tent city situation.” The
tent camping grounds has been set up by the protesters on the
site they want to preserve as a memorial.

ABOUT 6 P_M. a thunderstorm with lightning and high
 winds leveled about two-hirds of the tents. knocking tree
branches down on the site and driving the protesters to better
shelter.

“You can report that up to 150 people are homeless asa
result of this.” one protester joked to a University policeman
afterward. “Maybe we should apply for federal aid.

“Hallelujah.” shouted a small woman in painter pants.
“Tent City shall rise agaiz.”” Her enthusiasim drew some
shouts, clapping and a couple of clenched fist salutes.

Kent officials today estimated damage at $75.00 from the
thunderstorms and high winds which raged through the cam-
pus.

“Part of the roof of the administration building was ripped
off and the entire roof will have te be replaced.’ a KSU spokes-
man said. ““We had some 30 trees heavily damaged. mostly
beyond repair. and nearly 50 windows blown out in campus
buildings — most in Terrace Hail.”

No injuries were reported.

The university statement also said, “Unfortunately rumor.
misinformation and unofficial representations bave created
expectations regarding actions and timetables that have
heightened anxieties and deepened polarity.”

THE STATEMENT said the administration needed more
time thay it had originally planned but said a “legal and peace-
fal resolution” was expected soon.

Olds said in May that the demonstrators would not be ai-
lowed lo remain on the site once construction was ready to

i,

it was believed university lawyers were prepared to seek
an injunction in Portage County Common Pleas Court in order
toclear tent city for constructon equipment.

Alan Canfora of Barberten, one of the students wounded in
1920, said his brother. Mark, and sister. Chic, were arrested
last night by campos police when they went into a dormitory to
assist crippled author Ron Kove.

THEY HAD permission from a professor to etter the dor-
matory but police did not know that. Canfora saad. und tock
them in for trespassing. They were released on their own ree-
ognizance.

He said “The officers realize that ts os a nasty situation.
so they are willing do drop charges next Thursday at the hear-
ing.” He blamed “inflammatory statements"" by Olds for
“whippme up tins amli-stodent inystena and causing the police
tooverteact hike tins.”

In a meeting with protesters Wednesday, Olds, guarded by
plainclothes campus police. said that plans for landscaping and
walkways on the spots where four students fell dead and mne
others wounded mm 1970 have deen changed

But he added at the same tume. “As Soon as 111s Tequired to
have you off the bill ] will come wp.” Olds said “The

1 rereesecperey 1) eae etn] tind Pee trireceat 77
 ",Protest
135,10_90270316-el-paso-herald-post-Mar-08-1944-p-1.jpg,"60,000 British Goal
Miners Go on Strike
 ",,"By As. fated Press
MMSNDOM, March 8. — The flow

of coal from Welsh mines on which
British war industries are largely
dependent, dwindled to a trickle
today, ss a wage strike spread
steadily throughout the area, and
there were indications that produc-
tion might be halted entirely by
nightfall,

Best estimates said that 60,000
or 70,000 out of 100,000 miners in
the Welsh fields already had walked
out.

The strikes began as a slowdown
several weeks ago, then mush-
roomed to serious proportions this
week. as dissatisfaction spread over
a deciion boosting the weekly
wage from $16.75 to $20. but not
providing an increase in piece
rates.

 
 ",Protest
128,3_240320770-port-charlotte-daily-herald-news-Dec-12-1973-p-1.jpg,"IRA Attacks
 ",,"BELFAST (UPI) — Roman
Catholic Irish Republican Army
(IRA) gunmen killed and
wounded policemen and soldiers
in a night-long offensive against
security forces throughout
Northern Ireland, the army said
today.

Booby-trapped cars killed one
policeman and blew the leg off
another in the attacks, which
began late Tuesday night and
continued until dawn today.
Another policeman was wounded
in a rocket and machine-gun
attack and five soldiers were hurt
in two landmine explosions.
 ",Neither
477,15_104692273-titusville-herald-Jul-19-1949-p-1.jpg,"Truman Move Would Give
Defense Chief More Power.
 Suit and Slowdown
Loom in Bus Strike
 ",,"NEW YORK. July 1—-7}—~
Striking bus workers were threai-
ened with a $1,000,000 damage
suit today and promptly said a
sympathy slowdown on the sub-
ways is likely.

A short. time aiter the ‘ an-
nouncement at a CIO Trensport
Workers Union meeting, police
hesdquarters sent orders io po-
lice in all boroughs to watch how
Subway trains are moving.

The possibility ofa spontaneous
slowdown as° voiced my TWU
President Michiel” J.” Quill after
the meeting.

He also predicted a long strike
“not a two or three-week strike.”

 

 
 ",Protest
8,7_270538690-brownsville-herald-Mar-11-1931-p-4.jpg,"COMPETITION FOR THE DIVORCE BUSINESS
 ",,"The states of Idaho and Arkansas are making a bid
for the Nevada divoree business. Both are consider-
| ing bills making divorces possible within ,six weeks,
/ and after one week's residence. Senator Duane Bush
Cee te at Uh ee 2 ee ee
| Reno judges to grant separations by mail! |
| * * ¢- & |
The competition is getting so strenuous that any
one of these states may soon offer premiums and cash
| prizes with every decree. Unhappily married folks
| may presently submit their domestic problems to the
| state offering the best terms.
: * . - *
: “My dear, I'd never think of going to Reno for a di-
| vorce,” you may hear some dashing brunette exclaim.
| “In Arkansas the service is much better. They meet ,
_ you at the station and furnish free transportation to
' and from the court!”
| we
' ‘The bill of Senator Bush of Nevada, introduced in
the western war for supremacy in the matter of ready- |
to-wear divorce suits, permits an applicant to give the
evidence by deposition and get a decree by return
| mail.

 

“Enclosed find $50 in two-cent stamps, for which |
please separate me from my husband, as |
a petition by mail may read, or: “I am sending you |
$75 in postage for one of your handsomely embossed |
annulments, No. 6, Series D, and also 20 two-cent
stamps for your folder on ‘How To Be The Life of
Any Party in Ten Lessons.’ Please send these special
delivery.”

s «+ 6s ®

Under the mail order divorce plan the courts may
even issue a catalogue:

No. 3768—Separation on ample and authentic evi- |
dence. $67.98. With full guarantec.

No. 5690—Seperation on flimsy evidence. Special |
offer: $133.65. This includes fake detectives and ex- |
pert perjurers. Money back if not satisfied.

No. 8325--Separation on no basis in fact. $587.33. |
(Time payments arranged). This offer includes one
barrel of manufactured evidence, two crates of bogus
letters, a planted “third party” and our Special Dicta-
phone Record arranged to suit all cases. Ten-year |
guarantee with every decree.

 
  
   
  
 
   

 

;
}
;

The war is getting hotter by the minute. Arkan-
sas now threatens-to stage an advertising drive for
the divorce trade. Can't we anticipate slogans now?

>. a —

“Let Little Rock, Ark., Break Up Your Home!”

“Remove Those Shackles The Idaho Way!”

“Lose that Mate By Reno Air Mail Today!”

* * * *

Signs would seem in order on any of those western |
court houses reading, “Twenty Judges—Positively No
Waiting.”

The Seventy-first congress has adjourned and the |
country hasn't felt so delighted over anything in years.
TET: ae *
 The Seventy-first congress has adjourned and the
country hasn't felt so delighted over anything in years.
 “LATS DC Tair With tne Frresiaent, says Eimer
Twitchell. “His administration has given us Amos ‘n’
| Andy and free wheeling.

“Well,” says the Market Goat, “it seems like the

/ good old days again, now that I am able to lose money

in stocks and have the brokers explain that its just
a healthy readjustment.”

|

;
:
;

| Scariet Brigade wen a race at Miami the other day
'and Scotty the Plunger seys that’s the horse that

| kept him “in the red” so lone.

 

| “I have been more or less shocked by reports of

the framing of innocent women.""--Mayor Walker of
New York. Merely a restricted reaction, evidently. |

; nir-caibiiainiitiinnaiiiggunnmntie 1

_ Jt is to be sincerely hoped that salts, which Mahat-
ma Gandhi may now manufacture are not, in his

case, of the reducing kind.

_ ( Copyright, -031, by The Associated Newspapers.)
 ",Neither
326,1_135731575-freeport-journal-standard-Jul-10-1972-p-1.jpg,"Irish Cease-Fire
Comes To End
 ",,"BELFAST (AP) - The Irish Re-
publican Army’s Provisional wing
broke off its cease-fire Sunday night
after 13 days and renewed its guerrilla
campaign. At least six persons were
killed, and Northern Ireland teetered
on the brink of civil war. ;

The Provisionals charge that British
troops junked the cease-fire by attack-
ing Roman Catholics in Belfast’s Lena-
doon district. William Whitelaw, the
British administrator for Northern Ire-
land, charged that the IRA “set up”
the incident “to provide justification
for resumption of terrorist activity.”
He said the troops were fired on first.
Witnesses backed. the claim.

Sean MacStiofian, chief of staff of
the Provisionals, ordered his gunmen
back to their bullet-and-bomb cam-
paign with “utmost ferocity” to oust
the British army.

Within 15 minutes, firing broke out
all over Belfast. Gun battles raged in
the Catholic Ballymurphy, Ardoyne
and Andersonstown sectors and the
Protestant Springmartin area.

A 100-pound bomb planted in a car
damaged offices downtown. Another
bomb wrecked an all-night garage.
Five bombs exploded within three min-
utes of each other near the Protestant
 warehouse section of Londonderry, the
province’s second largest city. Shoot-
ing erupted around the Bogside, part of
the IRA-ruled ‘‘Free Derry” enclave in
Londonderry.

Carloads of gunmen made hit-and-
run attacks on army posts and am-
bushed patrols, wounding at least four
soldiers.

Six civilians, including a Catholic
priest giving the last rites to another
victim, were killed around the Bal-
lymurphy zone of Belfast. The dead
also included a 13-year-old girl.

The British army claimed one gun-
man was killed and seven others
wounded. But the IRA as usual spirited
all their casualties away.

The truce was shattered when a col-
umn of 2,000 Catholics marched on the
Lenandoon housing project in Belfast
to force resettlement there of 16 Catho-
lic families bombed out of their homes
in a Protestant area.

Squads of the militant Ulster De-
fense Association and other Protes-
tants blocked the marchers and two
trucks loaded with the furniture of the
displaced families. When troops moved
in, the Catholics rained rocks, bottles,
iron bars and gasoline bombs on them.
Nine soldiers and half a dozen civilians
were injured.

The soldiers fired rubber bullets,
tear gas and water cannon at the riot-
ers, then charged them. As the Catho-
lics fell back, a sniper fired a single
shot at the troops.

Within minutes, the troops came un-
der heavy fire from snipers hiding in
the apartment houses. As the battle
widened, the Provisionals announced
the end of the truce.

Security officials feared even blood-
ier religious fighting may be ahead.
The Protestant UDA dug in behind bar-
ricades it threw up last week in de-
fiance of the British army.
 ",Neither
464,14_49245043-kingsport-times-Sep-10-1926-p-4.jpg,"Public Utilities |
Director of State
Visiting in City
 ",,"Guy P. Newton, dircetor of the
Tennessee Public Service Informa-
-tion Bureav of Nashville, was a visi-
‘tor in ‘the city yesterday afternoon.
Mr. Newbern is payi 4 visit ‘to
‘every city in the state in the. inte:
est of thy work in which’ he is “en

gaged.

The Ureau offers information on
ail public service companies and co-
operations, such as electrical power
furnishing concerns, public, utilities:
and other organizations of like na-
ture. The functions of the hureau
are not to bost ne company but to
promote the industry in whieh thaé
company is engaged.

Mr. Newbern temarked with en-'
thusiasm as to the favorable impres-
sion made by Kingsport. This was
his first trip to the city and he ex-
pressed surprise at its, wonderful de-
‘velopment. Mr. “Newbern stopped
only a short while, going from here
to Bristol and then to other parts
of the state.

 

 

  

 
 
 ",Neither
